Gender,treatment,work_interfere,remote_work,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
M,Yes,Sometimes,No,Yes,Yes,No,No,No,Somewhat difficult,Maybe,No,Some of them,No,No,No,No
M,Yes,Often,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,Yes,No,Maybe,No,No
M,Yes,Rarely,No,Yes,Not sure,Don't know,Yes,Yes,Don't know,No,No,Yes,No,Yes,Don't know,No
F,Yes,Rarely,Yes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,No,No,Yes,Maybe,Maybe,Yes,No
M,Yes,Sometimes,Yes,Don't know,Not sure,No,Don't know,Don't know,Somewhat difficult,No,No,No,No,No,No,No
M,No,Sometimes,No,No,No,No,No,Don't know,Very difficult,Yes,Maybe,No,No,Maybe,No,No
M,No,Never,Yes,No,No,No,No,Don't know,Don't know,Yes,Yes,Some of them,No,Maybe,No,No
M,Yes,Sometimes,Yes,Don't know,No,No,No,Yes,Somewhat easy,Maybe,No,Yes,No,Yes,Don't know,No
M,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No,Some of them,Maybe,Yes,Don't know,No
F,Yes,Sometimes,No,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,No,No,Maybe,Yes,No
M,Yes,Rarely,No,No,Yes,No,No,Don't know,Very easy,No,No,Yes,Maybe,Maybe,Don't know,No
M,No,Rarely,No,No,No,No,No,Don't know,Very easy,Yes,Maybe,No,No,No,Don't know,No
M,Yes,Rarely,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Maybe,Maybe,Yes,No
M,Yes,Sometimes,No,No,No,No,No,Don't know,Don't know,Maybe,Maybe,No,No,Yes,No,Yes
M,Yes,Sometimes,No,No,Yes,No,No,Yes,Very difficult,Maybe,No,No,No,No,Yes,No
M,No,Often,No,No,Not sure,No,No,Don't know,Somewhat difficult,Yes,Maybe,Some of them,No,No,No,No
M,Yes,Sometimes,No,Don't know,No,No,No,Don't know,Don't know,No,No,No,No,Maybe,Don't know,No
F,Yes,Sometimes,No,Yes,Yes,No,Yes,Yes,Somewhat easy,No,No,Yes,No,No,Yes,No
M,Yes,Rarely,No,Yes,No,No,Don't know,Don't know,Don't know,Maybe,No,Yes,No,No,Don't know,No
M,Yes,Often,No,No,Yes,No,No,Yes,Very difficult,Maybe,No,No,No,Maybe,Don't know,No
M,No,Never,Yes,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,No,Yes,No,No,Don't know,No
M,Yes,Rarely,No,Yes,Yes,No,No,Yes,Don't know,Maybe,No,No,No,No,Don't know,No
M,Yes,Sometimes,Yes,Don't know,No,No,No,Don't know,Don't know,No,Maybe,Yes,Yes,Yes,No,No
M,Yes,Often,Yes,Don't know,No,No,No,No,Somewhat difficult,Yes,No,No,No,Maybe,Don't know,No
F,Yes,Sometimes,Yes,Don't know,Not sure,Yes,Yes,Yes,Very easy,No,No,Yes,Maybe,Yes,Yes,No
M,No,Never,No,Yes,Not sure,No,Yes,Don't know,Somewhat easy,No,No,Yes,Maybe,Maybe,Yes,No
M,No,Sometimes,No,Don't know,No,No,No,Don't know,Somewhat easy,No,No,Yes,No,Maybe,Don't know,No
M,No,Sometimes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Yes,Maybe,No,No,No,No,Yes
F,Yes,Often,Yes,No,Not sure,No,No,Don't know,Very easy,No,No,Yes,No,Maybe,Yes,No
M,No,Sometimes,Yes,Yes,No,Don't know,Yes,Don't know,Don't know,Maybe,No,Some of them,Maybe,Yes,Yes,No
M,No,Never,No,No,No,No,No,Don't know,Don't know,Maybe,No,Some of them,No,No,Don't know,No
M,No,Never,No,Don't know,Not sure,Don't know,Don't know,Don't know,Somewhat easy,No,No,Yes,No,No,Don't know,No
MTF,No,Rarely,No,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,No,Yes,No,No,No,No
M,No,Never,No,Don't know,Not sure,Yes,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,Maybe,Yes,No
M,Yes,Sometimes,Yes,No,No,No,No,Don't know,Somewhat difficult,Yes,No,No,No,Yes,No,No
M,No,Never,Yes,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,No,Some of them,Maybe,Yes,Yes,No
M,No,Sometimes,Yes,Yes,Yes,No,Yes,Don't know,Don't know,No,No,Some of them,Maybe,Maybe,Yes,No
